relative_keyword,total_search,total_store,competitive_rate
혈당체크기,5270.0,9694.0,1.8394686907020872
녹십자혈당측정기,1640.0,2712.0,1.6536585365853658
혈당시험지,1970.0,53305.0,27.058375634517766
아큐첵퍼포마시험지,3000.0,1826.0,0.6086666666666667
연속혈당측정기,15930.0,3282.0,0.20602636534839924
아큐첵인스턴트,5910.0,4273.0,0.7230118443316413
당뇨측정기,6380.0,45877.0,7.190752351097179
아큐첵인스턴트시험지,3040.0,3189.0,1.0490131578947368
무채혈혈당측정기,5590.0,9064.0,1.6214669051878354
혈당계,2100.0,44681.0,21.276666666666667
프리스타일리브레,9260.0,2174.0,0.2347732181425486
케어센스N시험지,3450.0,2407.0,0.6976811594202899
아큐첵혈당측정기,6260.0,4022.0,0.6424920127795527
혈당측정기추천,3520.0,70579.0,20.050852272727273
아큐첵퍼포마,2180.0,2328.0,1.0678899082568807
당뇨체크기,2560.0,9237.0,3.608203125
아큐첵,6300.0,15353.0,2.436984126984127
여드름패치,24140.0,15205.0,0.62986743993372
흉터연고,18320.0,5995.0,0.32723799126637554
알콜스왑,13610.0,23743.0,1.7445260837619398
산소호흡기,9100.0,11090.0,1.2186813186813186
휴대용네블라이저,2120.0,5091.0,2.401415094339623
메피폼,13210.0,267.0,0.020211960635881907
센텔라스카연고,8150.0,1288.0,0.15803680981595092
휴대용약통,3520.0,107019.0,30.403125
듀오덤엑스트라씬,9770.0,2258.0,0.23111566018423746
더마틱스울트라,13410.0,769.0,0.057345264727815065
흉터제거연고,13760.0,2046.0,0.1486918604651163
아기네블라이저,2800.0,722.0,0.25785714285714284
노인지팡이,4660.0,126373.0,27.118669527896994
보행보조기,7360.0,95954.0,13.037228260869565
납골당액자,3430.0,15325.0,4.467930029154519
돋보기안경,15290.0,58564.0,3.8302158273381295
노인보행기,7840.0,102084.0,13.020918367346939
깁스방수커버,6700.0,18740.0,2.7970149253731345
납골당꾸미기,8370.0,38690.0,4.6224611708482675
어르신보행기,4970.0,65003.0,13.07907444668008
노인보행보조기,2000.0,64735.0,32.3675
전동휠체어,12820.0,75895.0,5.920046801872075
이동식변기,3670.0,89556.0,24.40217983651226
목발,9530.0,87888.0,9.22224554039874
어르신지팡이,1740.0,65410.0,37.5919540229885
목견인기,18740.0,30629.0,1.634418356456777
굽은어깨교정기,1400.0,14992.0,10.708571428571428
자세교정밴드,8730.0,85142.0,9.752806414662086
의료용압박스타킹,10930.0,50953.0,4.661756633119854
라운드숄더교정,4720.0,14872.0,3.1508474576271186
거북목교정기,13680.0,24323.0,1.7779970760233919
어깨교정밴드,2790.0,43468.0,15.579928315412186
허리스트레칭기구,1790.0,45456.0,25.39441340782123
굽은등교정기,3360.0,19007.0,5.656845238095238
일자목교정기,1700.0,9509.0,5.593529411764706
목견인치료기,2400.0,4357.0,1.8154166666666667
바른자세교정,1120.0,74393.0,66.42232142857142
허리스트레칭,6720.0,92406.0,13.750892857142857
저주파치료기,10750.0,16553.0,1.5398139534883721
부항기,4470.0,44198.0,9.887695749440716
적외선조사기,8800.0,27233.0,3.094659090909091
적외선치료기,9790.0,11763.0,1.201532175689479
저주파마사지기,15540.0,116704.0,7.50990990990991
초음파치료기,3650.0,4056.0,1.1112328767123287
클럭패드,2840.0,51194.0,18.02605633802817
조사기,1140.0,35843.0,31.441228070175438
EMS마사지기,9620.0,87872.0,9.134303534303534
저주파자극기,2410.0,47699.0,19.792116182572613
클럭마사지기,10740.0,1174.0,0.10931098696461825
원적외선온열치료기,8980.0,3757.0,0.4183741648106904
실리콘부항,2890.0,7171.0,2.4813148788927335
한솔부항기,2210.0,6526.0,2.9529411764705884
근적외선좌욕기,3790.0,8698.0,2.294986807387863
가정용좌욕기,4300.0,38845.0,9.033720930232558
치질좌욕기,3690.0,15197.0,4.118428184281843
좌훈기,3520.0,31543.0,8.961079545454545
원적외선좌욕기,1680.0,3253.0,1.9363095238095238
임산부좌욕기,1180.0,21713.0,18.40084745762712
좌욕대야,2210.0,17398.0,7.872398190045248
좌욕,10550.0,83918.0,7.954312796208531
전기찜질팩,10480.0,79438.0,7.579961832061069
무릎찜질기,4830.0,52576.0,10.885300207039338
허리찜질기,6330.0,100025.0,15.80173775671406
어깨찜질기,5720.0,81517.0,14.251223776223776
온수찜질기,6660.0,37382.0,5.612912912912913
온열돔,3500.0,11699.0,3.3425714285714285
어깨찜질팩,4700.0,101807.0,21.661063829787235
눈찜질팩,9790.0,38189.0,3.900817160367722
황토찜질팩,9640.0,67193.0,6.9702282157676345
황토찜질기,2130.0,39646.0,18.613145539906103
배찜질기,4450.0,58199.0,13.078426966292135
허리찜질팩,4580.0,103688.0,22.639301310043667
무릎찜질팩,1660.0,45343.0,27.315060240963856
미백치약,21540.0,45817.0,2.127065923862581
혀클리너,17400.0,76044.0,4.370344827586207
이갈이마우스피스,15220.0,9449.0,0.6208278580814718
잇몸치약,10170.0,88029.0,8.65575221238938
틀니세정제,5540.0,8282.0,1.4949458483754512
테라브레스,20070.0,7997.0,0.3984554060787245
고체치약,21430.0,7203.0,0.3361175921605226
입냄새치약,2670.0,34589.0,12.954681647940076
