relative_keyword,total_search,total_store
미백치약,21540.0,45817.0
혀클리너,17400.0,76044.0
이갈이마우스피스,15220.0,9449.0
잇몸치약,10170.0,88029.0
미세모칫솔,2870.0,179635.0
틀니세정제,5540.0,8282.0
테라브레스,20070.0,7997.0
마우스피스,19200.0,297817.0
고체치약,21430.0,7203.0
입냄새치약,2670.0,34589.0
천연치약,1600.0,10521.0
치과칫솔,5300.0,69732.0
대나무칫솔,6100.0,40597.0
켄트칫솔,22720.0,19487.0
수면안대,18860.0,162242.0
온열안대,15460.0,47927.0
안대,16160.0,259813.0
초음파세척기,21420.0,222787.0
렌즈세척액,5420.0,8896.0
온열수면안대,1530.0,25741.0
렌즈세척기,3560.0,142062.0
생리식염수,15680.0,1725.0
눈온열안대,1020.0,41798.0
식염수,14400.0,9495.0
안경세척기,4130.0,90689.0
아이마스크,5770.0,228735.0
보스톤심플러스,2970.0,927.0
에이오셉,3100.0,358.0
리뉴,11670.0,107864.0
발마사지기,25870.0,326110.0
무지외반증교정기,14060.0,12519.0
각질제거기,14850.0,733911.0
발각질제거,25260.0,235697.0
전동발각질제거기,2350.0,37617.0
발가락교정기,10710.0,152881.0
발뒤꿈치각질제거,9390.0,78099.0
다리안마기,4920.0,315653.0
굳은살제거기,3280.0,142829.0
공기압마사지기,2840.0,75301.0
지압슬리퍼,20670.0,129442.0
공기압다리마사지기,7230.0,53480.0
건식족욕기,20020.0,46520.0
발안마기,1770.0,326110.0
손마사지기,24270.0,36044.0
눈마사지기,22440.0,86278.0
마사지기,16610.0,1703119.0
목마사지기,21860.0,374125.0
어깨마사지기,25450.0,274479.0
괄사마사지기,13160.0,71580.0
어깨안마기,9110.0,274479.0
안마매트,6060.0,114673.0
소형안마의자,4330.0,15425.0
괄사마사지,17060.0,162571.0
승모근마사지기,6150.0,62340.0
목어깨마사지기,9940.0,198921.0
목안마기,12500.0,374125.0
바디괄사,2710.0,43021.0
손안마기,3570.0,184949.0
조립식앵글,20220.0,307014.0
수납정리함,25550.0,6360657.0
옷정리함,13480.0,654407.0
폴딩박스,19050.0,1038464.0
바지걸이,21880.0,367892.0
슈케이스,6470.0,42841.0
베란다선반,11180.0,485320.0
이동식선반,6330.0,1498282.0
논슬립옷걸이,10220.0,265301.0
압축팩,10980.0,332549.0
조립식선반,8840.0,716313.0
이동식트롤리,6960.0,749304.0
라탄바구니,19200.0,524079.0
신발정리대,12800.0,765876.0
앵글,21530.0,2987410.0
휴지통,20810.0,2951721.0
돌돌이,20760.0,427007.0
밀대걸레,11450.0,770461.0
밀대,11010.0,1697369.0
테이프클리너,3590.0,401181.0
자동센서휴지통,4520.0,139286.0
빗자루,16180.0,648281.0
재활용분리수거함,16310.0,186731.0
자동쓰레기통,8140.0,209571.0
물걸레밀대,7760.0,253079.0
청소솔,5090.0,1489440.0
돌돌이테이프,8650.0,132356.0
물걸레청소포,10840.0,185910.0
분리수거통,4020.0,621741.0
매직블럭,13020.0,138977.0
