relative_keyword,total_search
메디폼,35050.0
산소호흡기,9100.0
듀오덤,36730.0
휴대용네블라이저,2120.0
메피폼,13210.0
센텔라스카연고,8150.0
휴대용약통,3520.0
듀오덤엑스트라씬,9770.0
더마틱스울트라,13410.0
약통,9480.0
알약케이스,2260.0
흉터제거연고,13760.0
아기네블라이저,2800.0
동전파스,37630.0
노인지팡이,4660.0
보행보조기,7360.0
납골당액자,3430.0
돋보기안경,15290.0
지팡이,18900.0
휠체어,23960.0
노인보행기,7840.0
깁스방수커버,6700.0
납골당꾸미기,8370.0
돋보기,17030.0
어르신보행기,4970.0
실버카,3010.0
노인보행보조기,2000.0
전동휠체어,12820.0
이동식화장실,7660.0
이동식변기,3670.0
목욕의자,6510.0
목발,9530.0
어르신지팡이,1740.0
컴포트스틱,30.0
목견인기,18740.0
굽은어깨교정기,1400.0
자세교정밴드,8730.0
목보호대,7680.0
의료용압박스타킹,10930.0
