relative_keyword,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review
JBLGO3,19,2,2,15,36,1,2,1,14155,353
인셀덤비비,9,1,9,19,29,2,5,4,13810,345
망고스틱,3,11,4,21,19,5,11,5,16688,417
샤오미차량용청소기,1,1,11,3,29,3,5,3,13819,345
갈치속젓,9,7,20,4,6,7,8,19,152418,3810
하뚱세이하우스,0,2,4,11,34,2,2,2,6047,151
러쉬더티,13,3,8,14,30,1,4,5,22299,557
러쉬더티스프레이,11,4,9,14,30,1,4,5,22295,557
S펜펜촉,0,10,18,3,5,5,18,12,41455,1036
다이슨청소기헤드,8,6,16,8,18,6,11,5,14451,361
미림통통백순대,2,4,2,6,29,2,6,3,20743,518
청어과메기,8,3,20,9,6,1,15,18,166508,4162
구스이불커버,7,5,14,3,15,4,15,6,23503,587
일본여행지갑,7,16,12,0,15,8,14,3,15074,376
레고정리함,2,5,11,4,20,1,11,8,52323,1308
어린이샤워가운,2,7,7,1,19,6,11,4,13386,334
포켓몬151,4,6,18,3,25,1,9,5,35594,889
배수구클리너,6,5,12,7,8,0,12,20,202227,5055
김말이,0,1,1,3,17,1,13,9,50674,1266
효소세안제,7,4,14,8,12,3,18,7,25284,632
테니스손목보호대,4,6,12,2,3,2,20,15,192484,4812
돼지머리,2,9,24,1,8,4,18,10,52748,1318
도시락꾸미기,1,5,8,14,19,2,13,6,22658,566
싼타페MX5트렁크매트,2,9,19,4,21,2,7,10,82057,2051
콘사,6,10,14,3,18,3,15,4,30737,768
다이슨V8헤드,10,6,17,6,16,7,13,4,13135,328
골프공선물,1,9,26,4,11,2,22,5,17002,425
순둥이와댕댕이,0,0,8,32,36,0,3,1,2941,73
주니어후드티,0,4,10,0,29,3,5,3,13085,327
스타일러5벌,9,3,7,2,26,4,8,2,6625,165
월넛도마,9,10,9,0,7,4,23,6,43870,1096
석고팩,2,6,12,10,11,3,16,10,51643,1291
비닐하우스자재,6,0,18,3,20,6,11,3,6787,169
돼지코팩,2,3,3,27,18,6,8,8,42630,1065
어린이가슴장화,2,2,6,2,20,7,9,4,14680,367
진라면컵라면,2,2,14,18,7,1,13,19,354746,8868
한라산농장,0,0,8,32,21,2,12,5,39319,982
3단사다리,2,5,23,9,12,4,15,9,42404,1060
붕어빵재료,2,7,20,1,7,5,18,10,32097,802
내성발톱테이프,3,10,6,5,19,6,8,7,31837,795
루빅스큐브,0,1,15,0,7,3,25,5,16998,424
CGV티켓,6,6,11,15,17,0,10,13,45406,1135
쉐이커보틀,3,7,13,5,8,2,13,17,87058,2176
치발기추천,0,9,11,1,6,0,21,13,124175,3104
