relative_keyword,total_search,total_store,competitive_rate,avg_price,avg_sale
CTOHDMI,7520.0,126023.0,16.758377659574467,16535.0,156893.0
마이크로닉스파워,1150.0,22756.0,19.78782608695652,85150.0,357722.0
굿노트다이어리,11640.0,4555.0,0.3913230240549828,6920.0,198658.0
3단매트리스,9250.0,104125.0,11.256756756756756,94796.0,10821117.0
초등학생의자,3820.0,56722.0,14.84869109947644,79913.0,4520806.0
침대안전가드,6020.0,99392.0,16.51029900332226,39725.0,2444857.0
테라스가림막,4310.0,125250.0,29.06032482598608,45243.0,599401.0
현관코일매트,6440.0,118543.0,18.407298136645963,10271.0,268980.0
철제다리,1540.0,115850.0,75.22727272727273,25882.0,499554.0
오로라무드등,7650.0,77614.0,10.14562091503268,27886.0,2555531.0
다리베개,4130.0,124692.0,30.19176755447942,32230.0,1528448.0
거북목베개,10490.0,98555.0,9.395138226882745,30104.0,9975554.0
구스베개,3580.0,108225.0,30.230446927374302,55979.0,2435022.0
빨아쓰는규조토발매트,3000.0,93683.0,31.227666666666668,10364.0,897871.0
우드블라인드,16390.0,64537.0,3.93758389261745,16064.0,2616490.0
콤비블라인드,7730.0,127209.0,16.45653298835705,22670.0,722385.0
차르르커튼,6500.0,35070.0,5.395384615384615,20887.0,911617.0
방한암막커튼,2160.0,79769.0,36.930092592592594,28264.0,4812866.0
속커튼,2490.0,63786.0,25.61686746987952,28989.0,1831001.0
안뚫어고리,7390.0,7021.0,0.9500676589986468,8389.0,867972.0
자이언트얀가방,17170.0,37299.0,2.172335468841002,25716.0,23865.0
벨벳자이언트얀,2150.0,33726.0,15.686511627906976,12038.0,1119275.0
자이언트얀실,5250.0,60722.0,11.566095238095238,10543.0,1001155.0
자이언트얀벨벳,1950.0,33726.0,17.295384615384616,12267.0,1085635.0
양모펠트,23090.0,125589.0,5.439107838891295,8597.0,426275.0
펀치니들,9690.0,46833.0,4.83312693498452,14710.0,281975.0
