relative_keyword,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review
창문단열필름,9,12,15,4,16,5,12,7,20026,500
라푼젤드레스,2,10,10,1,18,3,11,8,33577,839
강아지짖음방지,4,4,4,2,25,4,9,2,8912,222
메이호7000,3,3,5,2,29,2,7,2,7319,182
레노덤쿠션,19,2,14,4,22,9,8,1,13409,335
발리송나이프,2,9,0,1,31,5,3,1,3449,86
에어랩파우치,12,7,14,3,13,6,15,6,20161,504
발목보조기,7,2,0,1,33,4,3,0,1443,36
먹는알로에,7,7,14,11,16,7,13,4,18297,457
트러플오일,2,9,16,5,14,3,17,6,19024,475
옛날밥상,4,3,7,0,33,0,4,3,11654,291
자동확산소화기,7,3,8,2,22,3,11,4,12867,321
식당벨,2,3,3,0,27,4,6,3,7776,194
풋조이골프장갑,4,5,12,3,12,6,17,5,16675,416
큐라덴칫솔,2,5,7,19,14,1,17,8,41894,1047
코베아아이젠,6,0,1,13,32,0,5,3,15764,394
칠게장,17,3,5,15,33,2,3,2,3484,87
오스람나이트브레이커,6,7,19,8,27,3,7,3,9943,248
방음마이크,7,1,6,3,36,1,3,0,1941,48
견과류바,6,10,8,2,12,7,14,7,34282,857
매운갈비찜,9,3,6,1,20,3,14,3,11583,289
임가네,2,6,17,14,32,3,2,3,14643,366
스부,3,1,9,2,36,0,4,0,1470,36
클라리넷리드,2,0,5,0,29,4,6,1,4377,109
애견미용복,4,0,6,0,37,2,1,0,489,12
닌텐도스위치OLED케이스,2,7,15,3,5,2,28,5,77565,1939
샘표양조간장701,0,0,1,5,14,3,17,6,30913,772
납작복숭아아이스티,10,7,6,17,36,2,2,0,749,18
초등킥보드,3,4,6,0,23,4,10,3,9342,233
스파이더맨거미줄,2,3,1,0,37,2,1,0,633,15
마테차,0,0,1,0,20,5,14,1,6510,162
타코야키팬,0,1,3,0,38,0,2,0,568,14
메주콩,12,5,15,8,18,0,15,7,36168,904
창문단열재,10,10,16,4,21,2,10,7,18344,458
티모시,2,1,5,1,15,10,12,3,10820,270
어성초패드,1,1,14,5,11,2,16,11,56756,1418
주닥,8,0,12,13,26,5,9,0,2141,53
풋샴푸,1,3,11,5,13,6,10,11,57367,1434
팔자주름패치,5,8,12,4,13,3,11,13,36771,919
졸린수모,13,4,14,0,35,3,2,0,1178,29
전기매트커버,5,3,4,4,19,3,14,4,14512,362
야마토야뉴스쿠스쿠,1,2,3,32,33,0,6,1,5546,138
리마인드웨딩촬영,40,0,0,0,24,3,12,1,6271,156
생오리고기,1,8,18,3,6,0,24,10,42227,1055
슈발베타이어,2,0,29,9,10,3,19,8,31645,791
볶음참깨,2,2,27,9,8,5,14,13,53093,1327
돌드레스대여,16,6,18,0,27,7,6,0,2096,52
건망고,5,7,4,2,17,3,17,3,14342,358
알레르망베개솜,1,0,5,16,29,4,7,0,2584,64
알레르망베개,1,0,5,18,29,4,7,0,2584,64
콩잎,8,12,5,2,10,7,19,4,21296,532
