relative_keyword,avg_sale
유모차장갑,1127210.0
부스터카시트,56591.0
바구니카시트대여,740108.0
카시트발판,849909.0
어린이안전벨트,1091746.0
안전벨트인형,1242500.0
카시트발받침대,935320.0
페도라바구니카시트,216085.0
기저귀가방백팩,3823625.0
기저귀백팩,4982746.0
신생아아기띠,930708.0
아기띠침받이,410282.0
기저귀파우치,5560444.0
아기포대기,1199555.0
누빔기저귀가방,1052140.0
휴대용기저귀매트,248929.0
아기욕조,6885175.0
아기비데,6360138.0
프롬유샤워핸들,10955795.0
포프베베,3924741.0
신생아욕조,5019107.0
샤워핸들,6750694.0
포프베베아기비데,7065754.0
말랑하니욕조,14207240.0
슈너글아기욕조,6696922.0
아기목욕가운,2252039.0
아기목욕타올,2439349.0
폴레드샤워핸들,93407766.0
말랑하니,16165424.0
센스2030,252110.0
온다베이비플러스,32375.0
온다베이비욕조,67811.0
아기세면대,439611.0
아기로션,28239411.0
키즈샴푸,6833894.0
아기크림,6839775.0
아기바디워시,5685054.0
베이비오일,752454.0
쁘리마쥬,2467888.0
아토팜MLE크림,311789.0
유아로션,28335444.0
존슨즈베이비로션,196149.0
그린핑거,1610748.0
아토팜판테놀크림,600815.0
아기선크림,8471934.0
키즈바디워시,4134087.0
아기수딩젤,26202615.0
아토팜로션,466294.0
아토팜탑투토워시,299300.0
아기변기,2422240.0
콧물흡입기,63523961.0
유아변기커버,1018957.0
아기변기커버,1021268.0
노시부석션팁,2365157.0
포켓몬마스크,215275.0
블루본마스크소형,217057.0
한일포근,2317722.0
티니핑마스크,837894.0
어린이치약,3369350.0
조르단칫솔,427096.0
유아치약,4010377.0
아기치약,4181596.0
구강티슈,475643.0
어린이치실,624728.0
조르단칫솔1단계,599685.0
벨레다치약,241280.0
제니튼치약,999494.0
조르단칫솔2단계,48653.0
예꼬맘치약,1426910.0
브리스틱칫솔,236553.0
코도모칫솔,608019.0
메가텐360,2785232.0
블랑키즐치약,2438383.0
티니핑칫솔,346373.0
아기섬유유연제,1469088.0
호호에미,7325.0
토루토루세탁세제,7642375.0
아기세제,3124703.0
마이비얼룩제거제,454722.0
유아세제,4309880.0
아기세탁세제,3563527.0
레드루트세탁세제,424676.0
헬로그린세탁세제,
애플민트라임섬유유연제,4227250.0
레드루트,446903.0
호호에미섬유유연제,
폴메디슨키즈아토표백제,1328687.0
비앤비섬유세제,575224.0
비앤비섬유유연제,295628.0
레드루트섬유유연제,455678.0
네이처러브메레,1466450.0
베르블랑,4015681.0
젖병건조대,1333423.0
젖병보관함,786758.0
젖병세정제,12165864.0
리뗀클로르,
스팀소독기,10540162.0
하이비젖병솔,749707.0
하이비,1294787.0
벤브와스팀소독기,
휴대용젖병소독기,1295172.0
이유식기보관함,402461.0
젖병스팀소독기,8438800.0
다퍼남젖병보관함,1133747.0
아기안전문,1509626.0
아기무릎보호대,1551036.0
루보안전문,28171344.0
모기패치,1917882.0
아기머리보호대,547654.0
호빵맨모기패치,309129.0
머리쿵보호대,292655.0
아기디딤대,699323.0
아가드안전문,958575.0
기저귀갈이대,366812.0
유아책상,2370789.0
아기쇼파,1673325.0
아기식탁의자,6225428.0
리안드림콧,4545740.0
