relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review,zzim_10,zzim_50,zzim_100,zzim_1000
전자호루라기,3910.0,63723.0,16.3,20811.0,596802.0,0,2,8,1,14,12,12,2,8755,218,35,3,2,0
레인보우프렌즈레고,1020.0,4777.0,4.68,25068.0,598066.0,0,1,1,2,39,1,0,0,142,3,39,1,0,0
그린보수기,1160.0,30433.0,26.24,7283.0,598325.0,2,3,1,0,32,1,7,0,2057,51,36,2,2,0
배워머,4890.0,31007.0,6.34,10550.0,599121.0,3,5,5,1,22,6,9,3,11543,288,29,5,6,0
스완스수경,2730.0,28036.0,10.27,30997.0,599216.0,4,1,9,1,28,2,9,1,4363,109,29,4,7,0
철제이젤,1240.0,31291.0,25.23,42218.0,599647.0,2,2,3,0,34,2,2,2,9699,242,37,1,2,0
라바콘,13090.0,50747.0,3.88,8066.0,600002.0,0,1,3,1,30,4,5,1,6128,153,36,1,3,0
아기독서대,3770.0,8305.0,2.2,37418.0,600332.0,7,3,7,2,34,2,2,2,7067,176,28,3,9,0
트리오르골,2890.0,84114.0,29.11,34337.0,601796.0,2,5,7,2,19,9,9,3,10088,252,25,3,11,1
할머니내복,2700.0,31605.0,11.71,16758.0,602175.0,3,12,7,1,21,4,10,5,38440,961,29,4,7,0
키높이발판,1340.0,27942.0,20.85,31000.0,602713.0,3,5,5,0,27,4,8,1,3509,87,29,5,6,0
페티코트,1030.0,41426.0,40.22,23725.0,602741.0,0,1,1,1,39,0,1,0,335,8,38,1,1,0
브리오기차,1610.0,7472.0,4.64,73981.0,604926.0,3,5,6,0,36,0,4,0,836,20,34,3,3,0
유모차장난감,3370.0,62369.0,18.51,23850.0,605175.0,1,4,4,2,16,4,17,3,11657,291,28,6,6,0
아기볼풀장,2170.0,14093.0,6.49,51545.0,605408.0,1,3,4,0,24,2,9,5,16702,417,31,4,5,0
너비아니,10510.0,12804.0,1.22,13562.0,605480.0,0,2,4,0,19,1,16,4,25205,630,37,2,1,0
디즈니보석십자수,1390.0,41419.0,29.8,12659.0,605933.0,4,2,5,1,28,1,8,3,11875,296,30,3,7,0
야구수비장갑,1100.0,12030.0,10.94,16010.0,606000.0,0,0,1,0,34,2,3,1,2280,57,39,1,0,0
치즈볼,8520.0,44509.0,5.22,10611.0,606361.0,9,0,2,2,20,4,13,3,26170,654,36,1,3,0
타일보수,2210.0,81036.0,36.67,9529.0,606687.0,12,6,8,1,19,3,14,4,22965,574,19,9,11,1
코큐텐효능,14760.0,2616.0,0.18,38634.0,608026.0,26,3,9,2,35,0,5,0,1101,27,34,4,2,0
유아시계,1530.0,59483.0,38.88,58695.0,608380.0,2,7,5,0,19,6,12,3,21047,526,28,2,8,2
비비안웨스트우드스타킹,10810.0,1013.0,0.09,38247.0,608569.0,9,9,6,1,27,4,8,1,5007,125,29,4,7,0
아이패드미니6케이스,3880.0,71187.0,18.35,17607.0,610116.0,4,5,2,2,11,3,20,6,18723,468,26,6,8,0
타지마줄자,6050.0,70674.0,11.68,17061.0,610296.0,1,0,7,2,28,3,8,1,7818,195,38,2,0,0
누름판,2360.0,64846.0,27.48,9030.0,610876.0,0,1,3,2,34,3,2,1,6032,150,36,2,1,1
물온도계,1500.0,33593.0,22.4,18312.0,610900.0,1,1,3,1,31,1,5,3,9258,231,38,0,2,0
세차솔,1360.0,95060.0,69.9,7678.0,611220.0,0,1,3,1,22,7,9,2,15321,383,37,0,3,0
강아지목욕탕,1830.0,88189.0,48.19,59677.0,611905.0,7,2,2,0,24,4,9,3,8621,215,29,2,8,1
의료용발목보호대,1340.0,7066.0,5.27,18429.0,612024.0,3,9,6,0,19,6,10,5,9628,240,29,6,5,0
퀘스트바,2150.0,16806.0,7.82,37926.0,612060.0,2,0,2,1,36,1,2,1,3649,91,39,1,0,0
퀘스트프로틴바,8390.0,15636.0,1.86,37068.0,612060.0,1,0,1,1,37,1,1,1,3544,88,39,1,0,0
고무신,6140.0,50859.0,8.28,14230.0,612750.0,3,4,1,1,26,4,6,4,16122,403,33,3,4,0
고임목,7520.0,48766.0,6.48,12209.0,613083.0,0,1,2,0,30,2,8,0,3195,79,38,1,1,0
자바라커튼,3080.0,79314.0,25.75,47520.0,613116.0,11,3,7,1,24,1,11,4,19187,479,21,4,14,1
탕온도계,1210.0,5743.0,4.75,13544.0,613433.0,1,2,3,2,26,1,11,2,9206,230,36,1,3,0
