relative_keyword,total_search,total_store_count,competitive_rate,avg_price
테마여행,1530.0,60315.0,39.42,24840
시간관리,1200.0,60656.0,50.55,7048
승마운동기,70.0,60691.0,867.01,764359
SKT,145200.0,60815.0,0.42,516815
개발툴,150.0,60947.0,406.31,148771
통장지갑,2840.0,61120.0,21.52,7233
좌욕기,27820.0,61237.0,2.2,76967
선파우더,520.0,61537.0,118.34,18490
거꾸리,7200.0,62025.0,8.61,293836
케틀벨,21770.0,62235.0,2.86,39522
청진기,10190.0,62558.0,6.14,83497
국내분유,370.0,62815.0,169.77,33586
함박,2330.0,63110.0,27.09,16255
어린이영어,1150.0,63595.0,55.3,49390
머스타드소스,4450.0,64151.0,14.42,8809
욕창방지용품,50.0,64351.0,1287.02,75057
죽제조기,1830.0,64610.0,35.31,104573
클렌징로션,2990.0,65521.0,21.91,30958
얼룩제거제,11410.0,65642.0,5.75,10849
하이패스,263400.0,66271.0,0.25,59309
의류관리기,3950.0,66362.0,16.8,1051816
미트볼,7120.0,66615.0,9.36,12835
게살,3670.0,66710.0,18.18,10249
DVD장,430.0,66775.0,155.29,85247
립앤아이리무버,4130.0,67463.0,16.33,10883
바베큐소스,4300.0,67541.0,15.71,22652
전병,15310.0,67788.0,4.43,14866
톤업크림,28440.0,68182.0,2.4,19687
메주,6720.0,68497.0,10.19,28195
커피자판기,6460.0,69305.0,10.73,4560715
볼링가방,3580.0,69474.0,19.41,100096
딤섬,29130.0,70112.0,2.41,13715
혀클리너,17070.0,70482.0,4.13,9018
스쿼시라켓,7350.0,71052.0,9.67,140022
금연용품,150.0,71205.0,474.7,33866
부츠키퍼,260.0,71486.0,274.95,7178
보이스레코더,1570.0,71733.0,45.69,112563
작전판,250.0,72560.0,290.24,39482
쌈장,12110.0,72661.0,6.0,12391
쿠션안마기,480.0,73224.0,152.55,43750
발냄새제거제,7740.0,73665.0,9.52,13886
유아목욕가운,550.0,74154.0,134.83,25738
에어커튼,9640.0,74233.0,7.7,248962
석션기,3190.0,74326.0,23.3,168861
손소독기,580.0,74383.0,128.25,175195
판화용품,30.0,74427.0,2480.9,76459
수산가공식품,50.0,74569.0,1491.38,19422
키재기,3690.0,74882.0,20.29,18216
번역,1015900.0,75125.0,0.07,252813
요이불세트,850.0,75581.0,88.92,104715
화과자,52030.0,75719.0,1.46,35627
세탁솔,260.0,75972.0,292.2,3427
흔들침대,1020.0,76018.0,74.53,133848
골뱅이,34470.0,76047.0,2.21,33151
혼합곡,800.0,76093.0,95.12,15627
청국장,49220.0,76205.0,1.55,17811
수유복,7390.0,76229.0,10.32,23384
소설,23720.0,76625.0,3.23,10407
유아욕조,1820.0,76708.0,42.15,38833
허브식물,700.0,76979.0,109.97,6324
의학,3340.0,77810.0,23.3,119270
세일즈,4260.0,78414.0,18.41,112816
