relative_keyword,avg_price
아기옷걸이,5051.0
유아책상,98252.0
아기쇼파,91786.0
아기식탁의자,92115.0
아기범퍼침대,208664.0
리안드림콧,49561.0
범보의자,83823.0
아기소파,99096.0
신생아침대,179414.0
리안드림콧아기침대,106634.0
에시앙범보의자,118507.0
아기턱받이,9349.0
스카프빕,4103.0
아기식판,14526.0
흡착식판,30950.0
릴리팟이유식냄비,51795.0
와우컵,27701.0
실리콘턱받이,10631.0
아기스카프빕,4818.0
그로미미빨대컵,17078.0
베이비뵨턱받이,31280.0
그로미미,13853.0
유아스카프빕,5468.0
주니자기주도컵,25000.0
임산부수영복,28241.0
수유브라,15732.0
임산부스타킹,9221.0
수유복,24279.0
임산부팬티,14980.0
임산부레깅스,14732.0
맘스안심팬티,21696.0
수유나시,20814.0
겨울임부복,36966.0
제이유블랑,36731.0
디라벨,33807.0
수유원피스,24740.0
튼살크림,36477.0
임산부튼살크림,33860.0
임산부바디필로우,53080.0
비오템튼살크림,78953.0
임밍아웃,9244.0
도넛방석,14803.0
란시노라놀린크림,32973.0
임산부손목보호대,10184.0
임밍아웃카드,2603.0
아토팜튼살크림,42697.0
임산부크림,34314.0
임밍아웃이벤트,6992.0
해피테일즈바디필로우,43990.0
임산부샴푸,26257.0
U자바디필로우,47240.0
클라란스튼살크림,78685.0
산모패드,23389.0
회음부방석,14272.0
란시노크림,30538.0
임밍아웃복권,2029.0
겉싸개,64654.0
아기블랭킷,28337.0
속싸개,25438.0
마이리틀데이지,33082.0
낮잠이불세트,83768.0
어린이집낮잠이불,63069.0
아기침대패드,37429.0
비비엔다,63805.0
아기겨울이불,34137.0
낮잠이불가방,16617.0
아기토퍼,65320.0
알레르망베이비,100554.0
어린이집생일답례품,2716.0
돌잔치답례품,4797.0
돌상대여,40007.0
할로윈구디백,8161.0
50일셀프촬영,26546.0
백일상,40991.0
결혼답례품,4489.0
어린이집구디백,2501.0
유치원답례품,2584.0
유치보관함,15648.0
성장동영상,49687.0
아이데이지,2169.0
패딩우주복,83227.0
아기우주복,41207.0
에뜨와우주복,47153.0
아기크리스마스옷,25696.0
우주복패딩,80651.0
밍크뮤우주복,66253.0
아가방우주복,66733.0
아기손수건,10500.0
블루독우주복,67029.0
압소바우주복,68417.0
미니로브,21382.0
나이키키즈운동화,39496.0
뉴발란스키즈운동화,63344.0
휠라키즈운동화,37791.0
털크록스키즈,33797.0
스케쳐스키즈,42098.0
씨엔타,44934.0
아기바라클라바,13474.0
베어파우키즈,43909.0
올드솔,94341.0
아레나키즈수영복,57726.0
아기수영복,27327.0
아레나남아수영복,56571.0
주니어래쉬가드,27416.0
아기래쉬가드,32702.0
아레나여아수영복,55133.0
배럴키즈래쉬가드,39979.0
유아수영복,25110.0
여아래쉬가드,25694.0
남아실내수영복,27614.0
점퍼루,99775.0
쏘서,132593.0
바운서,103566.0
베이비뵨바운서,214568.0
바운서대여,20207.0
뉴나바운서,168882.0
아마존쏘서,191129.0
피셔프라이스바운서,125359.0
어라운드위고,74101.0
베이비뵨바운서대여,32578.0
포맘스바운서,100937.0
졸리점퍼,81400.0
쏘서대여,21863.0
콤비보행기,103131.0
신생아바운서,100605.0
아기바운서,95236.0
보행기대여,25427.0
졸리점퍼대여,12815.0
세이지폴바운서,131804.0
스쿳앤라이드,155621.0
유아킥보드,78762.0
치발기,13043.0
베이비룸,114099.0
푸바오인형,38684.0
실바니안,41841.0
스키비디토일렛인형,14707.0
실바니안패밀리,40697.0
그로밋인형,19347.0
젤리캣애착인형,46952.0
춘식이인형,32157.0
카피바라인형,16707.0
종이인형,8865.0
파라필름,34497.0
소마셈,6018.0
원소주기율표,32850.0
소중한글,19338.0
매직트리하우스,51484.0
고무마개,2659.0
구리판,3733.0
바람개비만들기,2050.0
핀덴베베,473823.0
영어보드게임,19682.0
엘리펀트앤피기,42246.0
한글공부,16514.0
쇠구슬,21977.0
플라토,6534.0
닭다리살,21772.0
하누카세육포,38597.0
한우육포,41781.0
사세버팔로윙,19382.0
햄지대왕소갈비찜,38900.0
김부각,14880.0
고추부각,10284.0
명이나물,24271.0
단무지,5129.0
무말랭이,9602.0
반찬정기배송,54067.0
궁채장아찌,10624.0
절임알타리,34946.0
본죽장조림,15602.0
푸른회식당,29178.0
반찬배달,30947.0
종가집무말랭이,14147.0
홍어무침,19619.0
콩잎,16473.0
오이지,11511.0
종가집김치,35238.0
안동학가산김치,41595.0
묵은지,23691.0
김치10KG,43562.0
고랭지절임배추,43481.0
맥심화이트골드,30093.0
G7커피,10347.0
할로윈사탕,9778.0
꽃보다오징어,19652.0
앵커버터,26966.0
모짜렐라치즈,18375.0
슬라이스치즈,16783.0
스트링치즈,18628.0
라꽁비에뜨버터,33330.0
구워먹는치즈,13242.0
체다치즈,13871.0
필라델피아크림치즈,18886.0
지라그라타,11480.0
아그리폼지라그라타그라나파다노,11480.0
서울우유버터,11514.0
무염버터,14328.0
이즈니버터,16238.0
부라타치즈,19270.0
연유,17130.0
