relative_keyword,total_search,total_store,competitive_rate,avg_price
외부여과기,5050.0,67265.0,13.31980198019802,64355.0
어항받침대,1800.0,83696.0,46.49777777777778,75643.0
브라인쉬림프,5840.0,11438.0,1.9585616438356164,15954.0
유목,9130.0,53895.0,5.903066812705367,10956.0
구피사료,2210.0,48610.0,21.99547511312217,8005.0
걸이식여과기,3600.0,50144.0,13.928888888888888,12933.0
거북이사료,1690.0,31292.0,18.515976331360942,8136.0
물멍,3680.0,88939.0,24.16820652173913,59579.0
편백나무찜기,20010.0,32118.0,1.6050974512743628,123123.0
엔드그레인도마,18790.0,21675.0,1.153539116551357,99038.0
라탄빨래바구니,2120.0,54001.0,25.472169811320757,18897.0
3단빨래바구니,3060.0,38374.0,12.540522875816992,26723.0
전동빨래건조대,3970.0,27596.0,6.951133501259446,186625.0
양모볼,9600.0,23700.0,2.46875,9150.0
건조기양모볼,5060.0,9720.0,1.9209486166007903,8900.0
혈압측정기,25170.0,106530.0,4.232419547079857,51317.0
가정용혈압계,10480.0,18222.0,1.7387404580152672,63121.0
비접촉체온계,4100.0,15239.0,3.716829268292683,44694.0
휴비딕체온계,3870.0,2247.0,0.5806201550387597,52818.0
오므론혈압계,24710.0,4358.0,0.1763658437879401,70744.0
인바디체중계,27490.0,25251.0,0.918552200800291,115523.0
혈압기,8390.0,103054.0,12.282955899880813,48482.0
가정용혈압기,2420.0,18222.0,7.5297520661157025,63509.0
만보기,18710.0,92825.0,4.961250668091929,8493.0
체지방체중계,1820.0,79389.0,43.62032967032967,25518.0
국산덴탈마스크,1760.0,27040.0,15.363636363636363,7634.0
입호흡액상,12340.0,78838.0,6.388816855753647,9733.0
차이코스,22670.0,908.0,0.0400529333921482,58100.0
액상전자담배,27990.0,123459.0,4.410825294748125,9858.0
자가진단키트,7720.0,18087.0,2.342875647668394,8307.0
일회용전자담배,26890.0,5695.0,0.2117887690591298,17638.0
아에르마스크,24180.0,16635.0,0.6879652605459057,15817.0
혈당체크기,5270.0,9694.0,1.8394686907020872,36051.0
녹십자혈당측정기,1640.0,2712.0,1.6536585365853658,31847.0
혈당시험지,1970.0,53305.0,27.05837563451777,19179.0
아큐첵퍼포마시험지,3000.0,1826.0,0.6086666666666667,24689.0
연속혈당측정기,15930.0,3282.0,0.2060263653483992,93859.0
아큐첵인스턴트,5910.0,4273.0,0.7230118443316413,29801.0
당뇨측정기,6380.0,45877.0,7.190752351097179,41389.0
아큐첵인스턴트시험지,3040.0,3189.0,1.0490131578947368,32390.0
무채혈혈당측정기,5590.0,9064.0,1.6214669051878354,93922.0
혈당계,2100.0,44681.0,21.276666666666667,33030.0
프리스타일리브레,9260.0,2174.0,0.2347732181425486,114057.0
케어센스N시험지,3450.0,2407.0,0.6976811594202899,34530.0
아큐첵혈당측정기,6260.0,4022.0,0.6424920127795527,39543.0
혈당측정기추천,3520.0,70579.0,20.050852272727276,40758.0
아큐첵퍼포마,2180.0,2328.0,1.067889908256881,23808.0
당뇨체크기,2560.0,9237.0,3.608203125,36646.0
아큐첵,6300.0,15353.0,2.436984126984127,23292.0
여드름패치,24140.0,15205.0,0.62986743993372,7173.0
흉터연고,18320.0,5995.0,0.3272379912663755,26735.0
알콜스왑,13610.0,23743.0,1.7445260837619398,4809.0
산소호흡기,9100.0,11090.0,1.2186813186813186,112661.0
휴대용네블라이저,2120.0,5091.0,2.401415094339623,90788.0
메피폼,13210.0,267.0,0.0202119606358819,165468.0
센텔라스카연고,8150.0,1288.0,0.1580368098159509,24856.0
휴대용약통,3520.0,107019.0,30.403125,5366.0
듀오덤엑스트라씬,9770.0,2258.0,0.2311156601842374,15478.0
더마틱스울트라,13410.0,769.0,0.057345264727815,27741.0
흉터제거연고,13760.0,2046.0,0.1486918604651163,23300.0
아기네블라이저,2800.0,722.0,0.2578571428571428,108161.0
노인지팡이,4660.0,126373.0,27.118669527896994,24336.0
보행보조기,7360.0,95954.0,13.037228260869565,105382.0
납골당액자,3430.0,15325.0,4.467930029154519,17408.0
돋보기안경,15290.0,58564.0,3.8302158273381295,15354.0
노인보행기,7840.0,102084.0,13.02091836734694,117474.0
깁스방수커버,6700.0,18740.0,2.7970149253731345,11805.0
납골당꾸미기,8370.0,38690.0,4.622461170848268,19738.0
어르신보행기,4970.0,65003.0,13.07907444668008,123157.0
노인보행보조기,2000.0,64735.0,32.3675,108624.0
전동휠체어,12820.0,75895.0,5.920046801872075,1028258.0
이동식변기,3670.0,89556.0,24.40217983651226,42946.0
목발,9530.0,87888.0,9.22224554039874,21113.0
어르신지팡이,1740.0,65410.0,37.5919540229885,28282.0
목견인기,18740.0,30629.0,1.634418356456777,46436.0
굽은어깨교정기,1400.0,14992.0,10.708571428571428,24015.0
자세교정밴드,8730.0,85142.0,9.752806414662086,22614.0
의료용압박스타킹,10930.0,50953.0,4.661756633119854,30181.0
라운드숄더교정,4720.0,14872.0,3.1508474576271186,24377.0
거북목교정기,13680.0,24323.0,1.777997076023392,32308.0
어깨교정밴드,2790.0,43468.0,15.579928315412186,18754.0
허리스트레칭기구,1790.0,45456.0,25.39441340782123,20303.0
굽은등교정기,3360.0,19007.0,5.656845238095238,26811.0
일자목교정기,1700.0,9509.0,5.593529411764706,36493.0
목견인치료기,2400.0,4357.0,1.815416666666667,63988.0
바른자세교정,1120.0,74393.0,66.42232142857142,18713.0
허리스트레칭,6720.0,92406.0,13.750892857142857,17603.0
저주파치료기,10750.0,16553.0,1.539813953488372,130822.0
부항기,4470.0,44198.0,9.887695749440716,25351.0
적외선조사기,8800.0,27233.0,3.094659090909091,61064.0
적외선치료기,9790.0,11763.0,1.201532175689479,76550.0
저주파마사지기,15540.0,116704.0,7.50990990990991,39385.0
초음파치료기,3650.0,4056.0,1.1112328767123287,136103.0
클럭패드,2840.0,51194.0,18.02605633802817,17263.0
조사기,1140.0,35843.0,31.44122807017544,64948.0
EMS마사지기,9620.0,87872.0,9.134303534303534,45076.0
저주파자극기,2410.0,47699.0,19.792116182572613,42211.0
클럭마사지기,10740.0,1174.0,0.1093109869646182,57794.0
원적외선온열치료기,8980.0,3757.0,0.4183741648106904,114046.0
실리콘부항,2890.0,7171.0,2.481314878892733,17024.0
한솔부항기,2210.0,6526.0,2.9529411764705884,23672.0
근적외선좌욕기,3790.0,8698.0,2.294986807387863,135549.0
가정용좌욕기,4300.0,38845.0,9.033720930232558,18987.0
